TIME,RATE,ERROR,FRACEXP
274752403.79108006,2663.5054,51.60916,1.0
274752404.79108006,2498.5457,49.985455,1.0
274752405.79108006,2588.7178,50.879444,1.0
274752406.79108006,2572.9019,50.72378,1.0
274752407.79108006,2635.03,51.332542,1.0
274752408.79108006,2581.9358,50.81275,1.0
274752409.79108006,2650.0928,51.479053,1.0
274752410.79108006,2578.6797,50.7807,1.0
274752411.79108006,2542.0435,50.418682,1.0
274752412.79108006,2579.0256,50.784107,1.0
274752413.79108006,2559.58,50.592293,1.0
274752414.79108006,2505.0198,50.05017,1.0
274752415.79108006,2589.248,50.884655,1.0
274752416.79108006,2672.512,51.696342,1.0
274752417.79108006,2516.2356,50.162094,1.0
274752418.79108006,2509.9749,50.099648,1.0
274752419.79108006,2564.6763,50.64263,1.0
274752420.79108006,2480.2764,49.802372,1.0
274752421.79108006,2597.1365,50.96211,1.0
274752422.79108006,2620.277,51.18864,1.0
274752423.79108006,2533.7725,50.33659,1.0
274752424.79108006,2604.9092,51.03831,1.0
274752425.79108006,2603.5415,51.02491,1.0
274752426.79108006,2574.2158,50.73673,1.0
274752427.79108006,2560.2957,50.599365,1.0
274752428.79108006,2507.6494,50.076435,1.0
274752429.79108006,2539.296,50.391426,1.0
274752430.79108006,2586.7446,50.86005,1.0
274752431.79108006,2644.3562,51.423306,1.0
274752432.79108006,2593.8162,50.92952,1.0
274752433.79108006,2511.1035,50.110912,1.0
274752434.79108006,2589.8713,50.890778,1.0
274752435.79108006,2557.0984,50.56776,1.0
274752436.79108006,2609.2559,51.080875,1.0
274752437.79108006,2649.5012,51.473305,1.0
274752438.79108006,2556.9497,50.56629,1.0
274752439.79108006,2554.7793,50.544827,1.0
274752440.79108006,2474.8083,49.747444,1.0
274752441.79108006,2558.5898,50.582504,1.0
274752442.79108006,2501.6355,50.016354,1.0
274752443.79108006,2600.8384,50.998417,1.0
274752444.79108006,2499.8196,49.998196,1.0
274752445.79108006,2467.4497,49.67343,1.0
274752446.79108006,2527.9138,50.278362,1.0
274752447.79108006,2573.4883,50.72956,1.0
274752448.79108006,2677.9348,51.748768,1.0
274752449.79108006,2595.3083,50.944168,1.0
274752450.79108006,2527.5527,50.274773,1.0
274752451.79108006,2660.6658,51.581642,1.0
274752452.79108006,2570.395,50.699062,1.0
274752453.79108006,2581.6196,50.809643,1.0
274752454.79108006,2487.5083,49.874928,1.0
274752455.79108006,2639.6055,51.37709,1.0
274752456.79108006,2454.1206,49.53908,1.0
274752457.79108006,2593.6128,50.927525,1.0
274752458.79108006,2572.9307,50.724064,1.0
274752459.79108006,2557.5776,50.5725,1.0
274752460.79108006,2623.2002,51.217186,1.0
274752461.79108006,2638.921,51.37043,1.0
274752462.79108006,2557.437,50.57111,1.0
274752463.79108006,2591.4631,50.906414,1.0
274752464.79108006,2610.2593,51.0907,1.0
274752465.79108006,2518.7676,50.187325,1.0
274752466.79108006,2623.509,51.2202,1.0
274752467.79108006,2575.9355,50.753674,1.0
274752468.79108006,2606.0088,51.049084,1.0
274752469.79108006,2552.687,50.524124,1.0
274752470.79108006,2564.5967,50.641846,1.0
274752471.79108006,2609.0881,51.079235,1.0
274752472.79108006,2561.6084,50.612335,1.0
274752473.79108006,2701.618,51.97709,1.0
274752474.79108006,2603.7388,51.026844,1.0
274752475.79108006,2724.496,52.196705,1.0
274752476.79108006,2566.0684,50.656376,1.0
274752477.79108006,2589.6892,50.88899,1.0
274752478.79108006,2573.7678,50.732315,1.0
274752479.79108006,2455.8894,49.55693,1.0
274752480.79108006,2517.6885,50.176575,1.0
274752481.79108006,2596.4614,50.955486,1.0
274752482.79108006,2518.169,50.181362,1.0
274752483.79108006,2603.005,51.019653,1.0
274752484.79108006,2608.037,51.068943,1.0
274752485.79108006,2586.1965,50.85466,1.0
274752486.79108006,2523.3662,50.23312,1.0
274752487.79108006,2602.0315,51.010113,1.0
274752488.79108006,2626.0486,51.244987,1.0
274752489.79108006,2561.9397,50.61561,1.0
274752490.79108006,2709.6514,52.05431,1.0
274752491.79108006,2611.4868,51.102707,1.0
274752492.79108006,2535.3909,50.352665,1.0
274752493.79108006,2600.043,50.990616,1.0
274752494.79108006,2613.0386,51.11789,1.0
274752495.79108006,2555.356,50.55053,1.0
274752496.79108006,2630.9749,51.29303,1.0
274752497.79108006,2667.385,51.646732,1.0
274752498.79108006,2673.7,51.707832,1.0
274752499.79108006,2577.1902,50.766033,1.0
274752500.79108006,2523.7207,50.23665,1.0
274752501.79108006,2570.0217,50.69538,1.0
274752502.79108006,2641.4219,51.394764,1.0
274752503.79108006,2549.68,50.494354,1.0
274752504.79108006,2606.256,51.051506,1.0
274752505.79108006,2690.2869,51.867977,1.0
274752506.79108006,2523.6953,50.236393,1.0
274752507.79108006,2611.551,51.103336,1.0
274752508.79108006,2630.3796,51.287228,1.0
274752509.79108006,2667.5132,51.647972,1.0
274752510.79108006,2670.8918,51.68067,1.0
274752511.79108006,2598.254,50.973072,1.0
274752512.79108006,2510.6401,50.10629,1.0
274752513.79108006,2610.6614,51.09463,1.0
274752514.79108006,2514.403,50.143826,1.0
274752515.79108006,2650.4717,51.48273,1.0
274752516.79108006,2513.2974,50.132797,1.0
274752517.79108006,2605.1333,51.04051,1.0
274752518.79108006,2559.9883,50.596325,1.0
274752519.79108006,2533.988,50.338734,1.0
274752520.79108006,2664.5657,51.61943,1.0
274752521.79108006,2604.8103,51.037342,1.0
274752522.79108006,2591.0298,50.90216,1.0
274752523.79108006,2606.867,51.057487,1.0
274752524.79108006,2569.6162,50.691383,1.0
274752525.79108006,2500.0535,50.000534,1.0
274752526.79108006,2527.5056,50.274303,1.0
274752527.79108006,2526.011,50.259438,1.0
274752528.79108006,2737.9797,52.325706,1.0
274752529.79108006,2491.622,49.91615,1.0
274752530.79108006,2567.8748,50.674202,1.0
274752531.79108006,2581.6218,50.80966,1.0
274752532.79108006,2620.7234,51.193,1.0
274752533.79108006,2598.3052,50.97357,1.0
274752534.79108006,2509.1716,50.091633,1.0
274752535.79108006,2603.4749,51.024258,1.0
274752536.79108006,2549.1643,50.48925,1.0
274752537.79108006,2648.0266,51.45898,1.0
274752538.79108006,2623.0442,51.215664,1.0
274752539.79108006,2563.5518,50.63153,1.0
274752540.79108006,2571.1165,50.706177,1.0
274752541.79108006,2519.0076,50.189716,1.0
274752542.79108006,2536.8372,50.367023,1.0
274752543.79108006,2596.714,50.957966,1.0
274752544.79108006,2492.2522,49.922462,1.0
274752545.79108006,2623.6218,51.221302,1.0
274752546.79108006,2679.2534,51.761505,1.0
274752547.79108006,2503.856,50.038544,1.0
274752548.79108006,2598.2517,50.97305,1.0
274752549.79108006,2578.437,50.778313,1.0
274752550.79108006,2536.1897,50.360596,1.0
274752551.79108006,2595.1655,50.94277,1.0
274752552.79108006,2504.2783,50.042767,1.0
274752553.79108006,2572.943,50.724186,1.0
274752554.79108006,2572.0674,50.715553,1.0
274752555.79108006,2580.8662,50.802227,1.0
274752556.79108006,2627.2908,51.257103,1.0
274752557.79108006,2541.8206,50.41647,1.0
274752558.79108006,2582.5588,50.818882,1.0
274752559.79108006,2560.9507,50.605835,1.0
274752560.79108006,2756.4417,52.501823,1.0
274752561.79108006,2662.4985,51.599403,1.0
274752562.79108006,2628.9265,51.27306,1.0
274752563.79108006,2547.3608,50.471386,1.0
274752564.79108006,2546.83,50.46613,1.0
274752565.79108006,2585.6653,50.849438,1.0
274752566.79108006,2587.8323,50.87074,1.0
274752567.79108006,2492.523,49.925175,1.0
274752568.79108006,2472.153,49.720753,1.0
274752569.79108006,2455.7407,49.55543,1.0
274752570.79108006,2564.9766,50.6456,1.0
274752571.79108006,2625.5867,51.24048,1.0
274752572.79108006,2632.7131,51.30997,1.0
274752573.79108006,2738.7668,52.33323,1.0
274752574.79108006,2585.6414,50.8492,1.0
274752575.79108006,2603.869,51.02812,1.0
274752576.79108006,2554.3677,50.540752,1.0
274752577.79108006,2581.625,50.809692,1.0
274752578.79108006,2487.855,49.878403,1.0
274752579.79108006,2622.2495,51.207905,1.0
274752580.79108006,2516.7249,50.16697,1.0
274752581.79108006,2616.0623,51.147457,1.0
274752582.79108006,2739.9995,52.345005,1.0
274752583.79108006,2652.043,51.49799,1.0
274752584.79108006,2604.8955,51.038177,1.0
274752585.79108006,2628.0398,51.264412,1.0
274752586.79108006,2551.9856,50.51718,1.0
274752587.79108006,2653.5413,51.512535,1.0
274752588.79108006,2592.468,50.916283,1.0
274752589.79108006,2555.9072,50.55598,1.0
274752590.79108006,2604.539,51.034683,1.0
274752591.79108006,2586.5388,50.858025,1.0
274752592.79108006,2647.9666,51.458397,1.0
274752593.79108006,2605.685,51.04591,1.0
274752594.79108006,2553.2666,50.529858,1.0
274752595.79108006,2538.108,50.37964,1.0
274752596.79108006,2628.3975,51.2679,1.0
274752597.79108006,2519.6855,50.19647,1.0
274752598.79108006,2597.4067,50.96476,1.0
274752599.79108006,2511.668,50.116543,1.0
274752600.79108006,2609.9595,51.08776,1.0
274752601.79108006,2509.815,50.098053,1.0
274752602.79108006,2607.1487,51.060246,1.0
274752603.79108006,2573.2927,50.727634,1.0
274752604.79108006,2612.2212,51.109894,1.0
274752605.79108006,2555.8442,50.55536,1.0
274752606.79108006,2594.0156,50.93148,1.0
274752607.79108006,2571.049,50.705513,1.0
274752608.79108006,2588.2747,50.875088,1.0
274752609.79108006,2610.233,51.09044,1.0
274752610.79108006,2691.5847,51.880486,1.0
274752611.79108006,2590.5598,50.89754,1.0
274752612.79108006,2661.1082,51.58593,1.0
274752613.79108006,2686.4155,51.830643,1.0
274752614.79108006,2617.9688,51.16609,1.0
274752615.79108006,2561.748,50.613712,1.0
274752616.79108006,2671.604,51.68756,1.0
274752617.79108006,2577.2144,50.766273,1.0
274752618.79108006,2554.5964,50.543015,1.0
274752619.79108006,2683.5146,51.80265,1.0
274752620.79108006,2565.7017,50.652756,1.0
274752621.79108006,2506.3179,50.063137,1.0
274752622.79108006,2610.6123,51.09415,1.0
274752623.79108006,2599.6572,50.986835,1.0
274752624.79108006,2643.2498,51.412544,1.0
274752625.79108006,2470.228,49.70139,1.0
274752626.79108006,2675.2908,51.723213,1.0
274752627.79108006,2592.165,50.913307,1.0
274752628.79108006,2545.784,50.45576,1.0
274752629.79108006,2550.5376,50.502846,1.0
